Nature of complaint,Category
"kc oil pump seize - tang broken, housing , bushes ,gear worn-out.",Oil Pump
pressure gauges (suc./disch./oil) - not working/malfunctioning.,Electrical & Instruments
crank shaft pin wear.,Major Mechanical
kc oil pump - low oil pressure problem.,Oil Pump
knocking / abnormal sound.,Sound & Vibration
gauge board leakage,Electrical & Instruments
spares supply cylinder liner problem,Cylinder & Overheating
---,Others
tah8 valve tight / stem broken / leakage,Valves & Solenoids
cylinder overheat,Cylinder & Overheating
solenoide valve threading spoil,Valves & Solenoids
stop valve leakage,Valves & Solenoids
sound in disch. stop valve,Sound & Vibration
shaft seal leakage,Shaft Seal
high oil consumption / oil carry over,Oil Consumption & Carryover
pc2 oil pump low oil pressure,Oil Pump
pump manifold damage,Others
stop valve leakage & oil pressure not develop,Oil Pump
c.case leak due to welding crack near side door and foot,Leaks (General)
transport damage,Others
k5 valve tight / stem broken / leakage,Valves & Solenoids
solenoide valve coil not working / malfunctioning.,Valves & Solenoids
oil level glass leakage,Oil Consumption & Carryover
cut-outs not working / malfunctioning.,Electrical & Instruments
kcx oil pump - oil pressure not develop.,Oil Pump
kcx low oil pressure,Oil Pump
gauge panel board rusty,Electrical & Instruments
crank shaft broken.,Major Mechanical
kcx oil pump - purging problem.,Oil Pump
abnormal sound.,Sound & Vibration
hp con rod scoring,Major Mechanical
delivery valve touches to piston,Valves & Solenoids
compressor seize / jam.,Cylinder & Overheating
connecting rod scoring,Major Mechanical
k5 valve tight,Valves & Solenoids
key loose in flywheel,Major Mechanical
discharge oil str m22 pipe crack,Leaks (General)
kc oil pump - pressure not develop,Oil Pump
tah8 valve tight,Valves & Solenoids
wrong supply of pressure gauges,Electrical & Instruments
tah8 valve broken,Valves & Solenoids
"kcx oil pump seize - tang broken, inner,outer and housing worn-out.(element broken)",Oil Pump
tah8 valve assembly problem,Valves & Solenoids
welding leakage from compressor discharge,Leaks (General)
solenoide valve not working / malfunctioning.,Valves & Solenoids
leakges in fitting & flange,Leaks (General)
delivery valve leakage,Valves & Solenoids
flywheel wobbling,Sound & Vibration
compressor loading problem,Loading & Unloading
t connector of gauge damaged & leakage,Electrical & Instruments
thrust ring bronze wornout,Major Mechanical
intermediate pressure high,Others
oil pressure not develop,Oil Pump
crankshaft key way damaged,Major Mechanical
kc oil pump pressure not develop,Oil Pump
discharge filter manifold leakage.,Leaks (General)
kc pump low oil pressure loading delay problem,Oil Pump
kc oil pump - no oil pressure,Oil Pump
control panel box leakage,Electrical & Instruments
leak from c.case  foot and shell weld run due to crack,Leaks (General)
cylinder loading problem,Loading & Unloading
connecting rod worn out,Major Mechanical
short supply,Others
breather assly fall down,Others
kcx manifold threads damaged,Others
leakage from top housing discharge,Leaks (General)
pipe damaged in top housing assly,Others
oil level glass broken,Oil Consumption & Carryover
leakage from oil pump body,Oil Pump
water jacket leakage,Leaks (General)
oil leakage from discharge filter top housing,Leaks (General)
fitting leakage from suction oil strainer top housing .,Leaks (General)
fitting leakage from suction  pressure gauge,Electrical & Instruments
manifold porous,Leaks (General)
oil pressure trip,Others
suction oil filter top fitting leakage,Leaks (General)
customer stock old intermediate housing drill holes not match with kpcl supplied new spare crankcase,Others
gas leakage from gland of both tal valves,Leaks (General)
flywheel wobbling.,Sound & Vibration
k5 valve thrd. damage,Valves & Solenoids
opr malfunctioning,Electrical & Instruments
vld housing leakage due to pin hole,Leaks (General)
liner bore cut marks,Cylinder & Overheating
k5 valve leakage,Valves & Solenoids
c.case weld leakage,Leaks (General)
bronze ring wearout,Shaft Seal
manifold thrading damage.,Others
low oil pressure,Oil Pump
pc2 oil pump failure,Oil Pump
no partition for lp & hp ( on suction side),Others
water jaket leakage,Leaks (General)
loading-unloadding problem,Loading & Unloading
buffer spring  shrunk,Others
stop valve nut crack,Valves & Solenoids
suction strainer element missing,Others
suction filter hsg fitting leakage,Leaks (General)
c.case weld leak at discharge pipe.,Leaks (General)
tah8 valve stem broken,Valves & Solenoids
"low oil pressure -big end bearing , piston, gudgeon pin worn out",Oil Pump
abnormal noise,Sound & Vibration
comp cylinder overheat,Cylinder & Overheating
heavy system dust found in cylinders,Others
side cover bolt missing,Others
wrong labelling of pressure name plates,Others
overhauling servicing,Others
direct piston loading problem in compressor starting time,Loading & Unloading
oil lifting problem,Oil Consumption & Carryover
knocking sound,Sound & Vibration
abnormal sound,Sound & Vibration
liner bore cut marks and oil carryover,Cylinder & Overheating
leakage from shaft seal cover,Shaft Seal
"abnormal noise,piston touching to dv assy due to liner gaskets damaged",Sound & Vibration
oil pressure not build up properly,Oil Pump
loading - unloading problem.,Loading & Unloading
shaft seal leakage and low oil pressure.,Oil Pump
shaft seal leakage.,Shaft Seal
oil leakage from cylinder head covers,Leaks (General)
low oil pressure & crankshaft wornout,Oil Pump
wrong cutout fitted,Electrical & Instruments
cylinder liner worn out.,Cylinder & Overheating
loading & unloading problem.,Loading & Unloading
leakage from ferule fitting of discharge filter housing,Leaks (General)
tubing quantity short,Others
tubing qty.short,Others
low oil presure,Others
"liner bore cut marks  in cyl no.01,02,04&05",Cylinder & Overheating
damage problem in vld piston & lever.,Others
flywheel key damaged,Major Mechanical
compressor has been breakdown due to thrust ring bronze broken in running condition .,Major Mechanical
higher oil consumption problem.,Oil Consumption & Carryover
"1) high oil consumption
2) abnormal sound in unloading time @ cyl.no.3 & 6
3) air purging problem.",Oil Pump
abnormal sound from cylinder.,Sound & Vibration
abnormal sound problem,Sound & Vibration
machine jam condition,Others
c.case weld leak at hp suction,Leaks (General)
higher oil consumption.,Oil Consumption & Carryover
after stopping the compressor for 1-2 days oil pressure is not developed,Others
liner gasket damaged,Cylinder & Overheating
loading unloading problem,Loading & Unloading
no oil pressure,Oil Pump
sol. valve coil burnt,Valves & Solenoids
solenoid valve leakage,Valves & Solenoids
k5 valve leak,Valves & Solenoids
low oil pressure and liner cut mark,Oil Pump
flywheel bolt loose,Major Mechanical
op cutout not working,Electrical & Instruments
leak from kcx manifold and hair crack on kcx oil pump housing and cover,Oil Pump
hp side safety valve leak,Valves & Solenoids
solenoid valve 1/8 bsp thrd damaged,Valves & Solenoids
kc pump lubrication pressure not develop.,Others
orv leak,Leaks (General)
high oil carryover,Oil Consumption & Carryover
abnormal sound   from compressor,Sound & Vibration
oil pressure not built up,Oil Pump
high oil consumption,Oil Consumption & Carryover
oil seal leak & excessive sound,Shaft Seal
crankshaft failure,Major Mechanical
pressure gauges disch - not working/malfunctioning.,Electrical & Instruments
solenoid valve coil not working,Valves & Solenoids
knocking sound & overheating,Sound & Vibration
unloading problem,Loading & Unloading
loading / unloading problem,Loading & Unloading
kcx oil pressure not develop,Oil Pump
abnormal noise & oil carry over,Sound & Vibration
cylinder overheating,Cylinder & Overheating
shaftseal leakage.,Shaft Seal
oil charging probleem/suction manifold threading damaged,Others
abnormal vibrations,Sound & Vibration
stop valve not working,Valves & Solenoids
piston touches to delivery valve,Valves & Solenoids
high oil consumption and abnormal sound.,Sound & Vibration
pump inner rotor missing,Others
oil pressure dp trip,Others
compressor knocking sound,Sound & Vibration
"knocking sound in cylinder no. 01,03,04 & 06.",Sound & Vibration
